Nr  | Liczba | BIN        | HEX   | OCT  
----------------------------------------
1   | 101    | 1100101    | 65    | 145  
2   | 102    | 1100110    | 66    | 146  
3   | 103    | 1100111    | 67    | 147  
4   | 104    | 1101000    | 68    | 150  
5   | 105    | 1101001    | 69    | 151  
6   | 106    | 1101010    | 6A    | 152  
7   | 107    | 1101011    | 6B    | 153  
8   | 108    | 1101100    | 6C    | 154  
9   | 109    | 1101101    | 6D    | 155  
10  | 110    | 1101110    | 6E    | 156  
11  | 111    | 1101111    | 6F    | 157  
12  | 112    | 1110000    | 70    | 160  
13  | 113    | 1110001    | 71    | 161  
14  | 114    | 1110010    | 72    | 162  
15  | 115    | 1110011    | 73    | 163  
16  | 116    | 1110100    | 74    | 164  
17  | 117    | 1110101    | 75    | 165  
18  | 118    | 1110110    | 76    | 166  
19  | 119    | 1110111    | 77    | 167  
20  | 120    | 1111000    | 78    | 170  
21  | 121    | 1111001    | 79    | 171  
22  | 122    | 1111010    | 7A    | 172  
23  | 123    | 1111011    | 7B    | 173  
24  | 124    | 1111100    | 7C    | 174  
25  | 125    | 1111101    | 7D    | 175  
26  | 126    | 1111110    | 7E    | 176  
27  | 127    | 1111111    | 7F    | 177  
28  | 128    | 10000000   | 80    | 200  
29  | 129    | 10000001   | 81    | 201  
30  | 130    | 10000010   | 82    | 202  
31  | 131    | 10000011   | 83    | 203  
32  | 132    | 10000100   | 84    | 204  
33  | 133    | 10000101   | 85    | 205  
34  | 134    | 10000110   | 86    | 206  
35  | 135    | 10000111   | 87    | 207  
36  | 136    | 10001000   | 88    | 210  
37  | 137    | 10001001   | 89    | 211  
38  | 138    | 10001010   | 8A    | 212  
39  | 139    | 10001011   | 8B    | 213  
40  | 140    | 10001100   | 8C    | 214  
