id;student_id;grade_id;grade_date
1;1;5;25.01.2024
2;1;7;17.04.2024
3;1;6;07.11.2023
4;2;7;23.05.2024
5;2;9;26.12.2023
6;3;3;14.03.2024
7;3;8;13.04.2024
8;3;4;13.05.2024
9;4;3;08.09.2023
10;4;5;24.01.2024
11;4;6;21.11.2023
12;5;2;22.01.2024
13;5;6;23.11.2023
14;5;3;17.09.2023
15;6;7;04.05.2024
16;6;5;27.06.2024
17;6;4;26.02.2024
18;7;5;29.02.2024
19;7;7;24.03.2024
20;7;6;26.09.2023
21;7;5;11.11.2023
22;8;6;21.09.2023
23;8;9;26.04.2024
24;9;3;12.04.2024
25;9;5;22.11.2023
26;9;3;06.03.2024
27;10;6;11.04.2024
28;10;3;14.10.2023
29;11;8;08.06.2024
30;11;3;03.10.2023
31;11;7;09.04.2024
32;12;2;13.11.2023
33;12;6;18.11.2023
34;12;6;15.11.2023
35;12;7;02.06.2024
36;13;5;29.12.2023
37;13;8;11.02.2024
38;14;5;26.06.2024
39;14;3;16.10.2023
40;15;9;11.02.2024
41;15;6;23.03.2024
42;15;7;02.01.2024
43;15;6;30.10.2023
44;16;2;12.09.2023
45;16;7;08.05.2024
46;16;4;13.06.2024
47;16;5;21.10.2023
48;17;3;01.09.2023
49;17;5;11.04.2024
50;17;1;26.11.2023
51;18;2;08.09.2023
52;18;3;12.01.2024
53;19;3;07.11.2023
54;19;7;27.05.2024
55;19;6;18.09.2023
56;19;4;05.10.2023
57;20;5;10.10.2023
58;20;3;16.05.2024
59;20;7;05.02.2024
60;20;7;02.04.2024
61;21;8;27.05.2024
62;21;2;15.04.2024
63;22;5;31.05.2024
64;22;8;22.11.2023
65;23;7;21.10.2023
66;23;6;21.09.2023
67;24;1;03.03.2024
68;24;8;12.12.2023
69;25;5;08.05.2024
70;25;5;14.10.2023
71;25;5;08.09.2023
72;26;7;03.06.2024
73;26;3;15.01.2024
74;26;5;26.03.2024
75;27;8;11.11.2023
76;27;3;30.05.2024
77;27;9;01.11.2023
78;28;3;17.01.2024
79;28;8;27.12.2023
80;28;3;15.02.2024
81;29;5;01.04.2024
82;29;6;19.04.2024
83;29;5;22.10.2023
84;30;7;19.03.2024
85;30;1;26.02.2024
86;30;8;20.01.2024
87;30;7;16.10.2023
